timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow
1747092055.7026393,"-14.0,0.0,0.0","-7.0,0.0,0.0","15.0,0.0,0.0","29.0,0.0,0.0"
1747092055.753157,"-14.0,0.0,0.0","-7.0,0.0,0.0","15.0,0.0,0.0","28.0,0.0,0.0"
1747092055.803691,"-14.0,0.0,0.0","-7.0,0.0,0.0","14.0,0.0,0.0","28.0,0.0,0.0"
1747092055.8542068,"-14.0,0.0,0.0","-7.0,0.0,0.0","14.0,0.0,0.0","28.0,0.0,0.0"
1747092055.9042132,"-14.0,0.0,0.0","-7.0,0.0,0.0","14.0,0.0,0.0","28.0,0.0,0.0"
1747092055.9547381,"-14.0,0.0,0.0","-7.0,0.0,0.0","14.0,0.0,0.0","28.0,0.0,0.0"
1747092056.005269,"-14.0,0.0,0.0","-7.0,0.0,0.0","14.0,0.0,0.0","28.0,0.0,0.0"
1747092056.0556018,"-14.0,0.0,0.0","-7.0,0.0,0.0","14.0,0.0,0.0","28.0,0.0,0.0"
1747092056.1056128,"-13.0,0.0,0.0","-7.0,0.0,0.0","15.0,0.0,0.0","28.0,0.0,0.0"
1747092056.1561296,"-12.0,0.0,0.0","-4.0,0.0,0.0","20.0,0.0,0.0","28.0,0.0,0.0"
1747092056.206139,"-10.0,0.0,0.0","-1.0,0.0,0.0","24.0,0.0,0.0","27.0,0.0,0.0"
1747092056.2566538,"-8.0,0.0,0.0","3.0,0.0,0.0","24.0,0.0,0.0","21.0,0.0,0.0"
1747092056.307186,"-1.0,0.0,0.0","15.0,0.0,0.0","19.0,0.0,0.0","8.0,0.0,0.0"
1747092056.3577006,"3.0,0.0,0.0","19.0,0.0,0.0","17.0,0.0,0.0","6.0,0.0,0.0"
1747092056.4077163,"16.0,0.0,0.0","26.0,0.0,0.0","17.0,0.0,0.0","12.0,0.0,0.0"
1747092056.4583492,"19.0,0.0,0.0","29.0,0.0,0.0","20.0,0.0,0.0","12.0,0.0,0.0"
1747092056.508361,"22.0,0.0,0.0","33.0,0.0,0.0","22.0,0.0,0.0","12.0,0.0,0.0"
1747092056.5588875,"27.0,0.0,0.0","39.0,0.0,0.0","25.0,0.0,0.0","13.0,0.0,0.0"
1747092056.6088955,"31.0,0.0,0.0","41.0,0.0,0.0","23.0,0.0,0.0","12.0,0.0,0.0"
1747092056.6594784,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092056.7096825,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092056.7596877,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092056.8101516,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092056.8608754,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092056.9118505,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092056.9624512,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.0130472,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.0648174,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.1150002,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.1655843,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.2161808,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.266551,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.3174644,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.3685613,"33.0,0.0,0.0","44.0,0.0,0.0","22.0,0.0,0.0","11.0,0.0,0.0"
1747092057.4190843,"36.0,0.0,0.0","46.0,0.0,0.0","21.0,0.0,0.0","11.0,0.0,0.0"
1747092057.4700801,"77.0,0.0,0.0","89.0,0.0,0.0","12.0,0.0,0.0","2.0,0.0,0.0"
1747092057.5206108,"78.0,0.0,0.0","89.0,0.0,0.0","12.0,0.0,0.0","1.0,0.0,0.0"
1747092057.5716069,"79.0,0.0,0.0","88.0,0.0,0.0","11.0,0.0,0.0","4.0,0.0,0.0"
1747092057.6221414,"79.0,0.0,0.0","76.0,0.0,0.0","11.0,0.0,0.0","17.0,0.0,0.0"
1747092057.6811402,"79.0,0.0,0.0","90.0,0.0,0.0","11.0,0.0,0.0","0.0,0.0,0.0"
1747092057.7316637,"80.0,0.0,0.0","89.0,0.0,0.0","9.0,0.0,0.0","1.0,0.0,0.0"
1747092057.78266,"80.0,0.0,0.0","89.0,0.0,0.0","9.0,0.0,0.0","1.0,0.0,0.0"
1747092057.833717,"80.0,0.0,0.0","88.0,0.0,0.0","10.0,0.0,0.0","3.0,0.0,0.0"
1747092057.8847136,"80.0,0.0,0.0","88.0,0.0,0.0","10.0,0.0,0.0","3.0,0.0,0.0"
1747092057.9350505,"79.0,0.0,0.0","88.0,0.0,0.0","10.0,0.0,0.0","3.0,0.0,0.0"
1747092057.986049,"79.0,0.0,0.0","88.0,0.0,0.0","11.0,0.0,0.0","4.0,0.0,0.0"
1747092058.036583,"79.0,0.0,0.0","89.0,0.0,0.0","11.0,0.0,0.0","4.0,0.0,0.0"
1747092058.0865834,"79.0,0.0,0.0","89.0,0.0,0.0","11.0,0.0,0.0","3.0,0.0,0.0"
1747092058.1371067,"79.0,0.0,0.0","89.0,0.0,0.0","11.0,0.0,0.0","3.0,0.0,0.0"
1747092058.188106,"79.0,0.0,0.0","89.0,0.0,0.0","11.0,0.0,0.0","3.0,0.0,0.0"
1747092058.23865,"79.0,0.0,0.0","88.0,0.0,0.0","11.0,0.0,0.0","3.0,0.0,0.0"
1747092058.2886574,"79.0,0.0,0.0","88.0,0.0,0.0","11.0,0.0,0.0","4.0,0.0,0.0"
1747092058.3386948,"79.0,0.0,0.0","88.0,0.0,0.0","11.0,0.0,0.0","4.0,0.0,0.0"
1747092058.3886967,"78.0,0.0,0.0","87.0,0.0,0.0","10.0,0.0,0.0","2.0,0.0,0.0"
1747092058.4392264,"78.0,0.0,0.0","87.0,0.0,0.0","10.0,0.0,0.0","2.0,0.0,0.0"
1747092058.4902267,"77.0,0.0,0.0","85.0,0.0,0.0","9.0,0.0,0.0","3.0,0.0,0.0"
1747092058.540496,"76.0,0.0,0.0","84.0,0.0,0.0","10.0,0.0,0.0","4.0,0.0,0.0"
1747092058.59149,"75.0,0.0,0.0","82.0,0.0,0.0","10.0,0.0,0.0","4.0,0.0,0.0"
1747092058.6420279,"73.0,0.0,0.0","82.0,0.0,0.0","10.0,0.0,0.0","2.0,0.0,0.0"
1747092058.6920314,"73.0,0.0,0.0","80.0,0.0,0.0","8.0,0.0,0.0","3.0,0.0,0.0"
1747092058.7425601,"69.0,0.0,0.0","77.0,0.0,0.0","9.0,0.0,0.0","1.0,0.0,0.0"
1747092058.7931013,"68.0,0.0,0.0","75.0,0.0,0.0","10.0,0.0,0.0","2.0,0.0,0.0"
1747092058.8437037,"63.0,0.0,0.0","71.0,0.0,0.0","11.0,0.0,0.0","3.0,0.0,0.0"
1747092058.8946974,"57.0,0.0,0.0","61.0,0.0,0.0","12.0,0.0,0.0","11.0,0.0,0.0"
